纯真网络2014年8月5日IP数据
index total:  445065
117.136.11.163 福建省福州市 移动
117.136.11.166 福建省福州市 移动
117.136.11.168 福建省福州市 移动
117.136.11.169 福建省福州市 移动
117.136.11.170 福建省福州市 移动
117.136.11.172 福建省福州市 移动
117.136.11.173 福建省福州市 移动
117.136.11.194 福建省福州市 移动
117.136.11.195 福建省福州市 移动
117.136.11.198 福建省福州市 移动
117.136.11.2 福建省福州市 移动
117.136.11.3 福建省福州市 移动
117.136.11.64 福建省福州市 移动
117.136.11.65 福建省福州市 移动
117.136.11.66 福建省福州市 移动
117.136.11.67 福建省福州市 移动
117.136.11.78 福建省福州市 移动
117.136.11.83 福建省福州市 移动
117.136.12.192 广东省广州市 移动
117.136.12.195 广东省广州市 移动
117.136.13.139 海南省海口市 移动
117.136.13.144 海南省海口市 移动
117.136.13.145 海南省海口市 移动
117.136.13.154 海南省海口市 移动
117.136.13.182 海南省海口市 移动
117.136.13.184 海南省海口市 移动
117.136.13.185 海南省海口市 移动
117.136.13.187 海南省海口市 移动
117.136.13.246 海南省海口市 移动
117.136.13.248 海南省海口市 移动
117.136.13.27 海南省海口市 移动
117.136.14.102 广西钦州市 移动
117.136.14.128 广西钦州市 移动
117.136.14.129 广西钦州市 移动
117.136.14.130 广西钦州市 移动
117.136.14.131 广西钦州市 移动
117.136.14.161 广西钦州市 移动
117.136.14.177 广西钦州市 移动
117.136.14.50 广西钦州市 移动
117.136.14.54 广西钦州市 移动
117.136.14.74 广西钦州市 移动
117.136.14.75 广西钦州市 移动
117.136.14.76 广西钦州市 移动
117.136.14.77 广西钦州市 移动
117.136.14.79 广西钦州市 移动
117.136.14.81 广西钦州市 移动
117.136.14.83 广西钦州市 移动
117.136.14.98 广西钦州市 移动
117.136.14.99 广西钦州市 移动
117.136.15.10 四川省成都市 移动
117.136.15.48 四川省成都市 移动
117.136.15.59 四川省成都市 移动
117.136.15.85 四川省成都市 移动
117.136.15.90 四川省成都市 移动
117.136.16.193 云南省昆明市 移动
117.136.16.194 云南省昆明市 移动
117.136.16.197 云南省昆明市 移动
117.136.16.208 云南省昆明市 移动
117.136.16.216 云南省昆明市 移动
117.136.16.220 云南省昆明市 移动
117.136.17.134 贵州省贵阳市 移动
117.136.17.139 贵州省贵阳市 移动
117.136.17.234 贵州省贵阳市 移动
117.136.17.235 贵州省贵阳市 移动
117.136.18.22 西藏拉萨市 移动
117.136.18.23 西藏拉萨市 移动
117.136.18.40 西藏拉萨市 移动
117.136.19.100 江苏省南京市 移动
117.136.19.105 江苏省南京市 移动
117.136.19.107 江苏省南京市 移动
117.136.19.108 江苏省南京市 移动
117.136.19.112 江苏省南京市 移动
117.136.19.113 江苏省南京市 移动
117.136.19.115 江苏省南京市 移动
117.136.19.118 江苏省南京市 移动
117.136.19.121 江苏省南京市 移动
117.136.19.123 江苏省南京市 移动
117.136.19.124 江苏省南京市 移动
117.136.19.126 江苏省南京市 移动
117.136.19.127 江苏省南京市 移动
117.136.19.142 江苏省南京市 移动
117.136.19.149 江苏省南京市 移动
117.136.19.166 江苏省南京市 移动
117.136.19.177 江苏省南京市 移动
117.136.19.178 江苏省南京市 移动
117.136.19.180 江苏省南京市 移动
117.136.19.182 江苏省南京市 移动
117.136.19.2 江苏省南京市 移动
117.136.19.203 江苏省南京市 移动
117.136.19.207 江苏省南京市 移动
117.136.19.3 江苏省南京市 移动
117.136.19.37 江苏省南京市 移动
117.136.19.4 江苏省南京市 移动
117.136.19.82 江苏省南京市 移动
117.136.19.83 江苏省南京市 移动
117.136.19.86 江苏省南京市 移动
117.136.19.88 江苏省南京市 移动
117.136.19.91 江苏省南京市 移动
117.136.19.97 江苏省南京市 移动
117.136.19.99 江苏省南京市 移动
117.136.2.131 河北省石家庄市 移动
117.136.2.136 河北省石家庄市 移动
117.136.2.143 河北省石家庄市 移动
117.136.2.149 河北省石家庄市 移动
117.136.2.16 河北省石家庄市 移动
117.136.2.160 河北省石家庄市 移动
117.136.2.173 河北省石家庄市 移动
117.136.2.174 河北省石家庄市 移动
117.136.2.191 河北省石家庄市 移动
117.136.2.20 河北省石家庄市 移动
117.136.2.222 河北省石家庄市 移动
117.136.2.65 河北省石家庄市 移动
117.136.2.70 河北省石家庄市 移动
117.136.2.72 河北省石家庄市 移动
117.136.2.73 河北省石家庄市 移动
117.136.2.74 河北省石家庄市 移动
117.136.2.75 河北省石家庄市 移动
117.136.2.76 河北省石家庄市 移动
117.136.2.80 河北省石家庄市 移动
117.136.2.91 河北省石家庄市 移动
117.136.2.92 河北省石家庄市 移动
117.136.20.100 安徽省合肥市 移动
117.136.20.101 安徽省合肥市 移动
117.136.20.103 安徽省合肥市 移动
117.136.20.104 安徽省合肥市 移动
117.136.20.105 安徽省合肥市 移动
117.136.20.109 安徽省合肥市 移动
117.136.20.111 安徽省合肥市 移动
117.136.20.112 安徽省合肥市 移动
117.136.20.113 安徽省合肥市 移动
117.136.20.115 安徽省合肥市 移动
117.136.20.122 安徽省合肥市 移动
117.136.20.124 安徽省合肥市 移动
117.136.20.126 安徽省合肥市 移动
117.136.20.131 安徽省合肥市 移动
117.136.20.132 安徽省合肥市 移动
117.136.20.137 安徽省合肥市 移动
117.136.20.138 安徽省合肥市 移动
117.136.20.141 安徽省合肥市 移动
117.136.20.142 安徽省合肥市 移动
117.136.20.147 安徽省合肥市 移动
117.136.20.148 安徽省合肥市 移动
117.136.20.149 安徽省合肥市 移动
117.136.20.15 安徽省合肥市 移动
117.136.20.153 安徽省合肥市 移动
117.136.20.158 安徽省合肥市 移动
117.136.20.16 安徽省合肥市 移动
117.136.20.161 安徽省合肥市 移动
117.136.20.163 安徽省合肥市 移动
117.136.20.17 安徽省合肥市 移动
117.136.20.170 安徽省合肥市 移动
117.136.20.172 安徽省合肥市 移动
117.136.20.174 安徽省合肥市 移动
117.136.20.179 安徽省合肥市 移动
117.136.20.181 安徽省合肥市 移动
117.136.20.182 安徽省合肥市 移动
117.136.20.184 安徽省合肥市 移动
117.136.20.187 安徽省合肥市 移动
117.136.20.188 安徽省合肥市 移动
117.136.20.20 安徽省合肥市 移动
117.136.20.22 安徽省合肥市 移动
117.136.20.23 安徽省合肥市 移动
117.136.20.26 安徽省合肥市 移动
117.136.20.35 安徽省合肥市 移动
117.136.20.37 安徽省合肥市 移动
117.136.20.39 安徽省合肥市 移动
117.136.20.44 安徽省合肥市 移动
117.136.20.6 安徽省合肥市 移动
117.136.20.60 安徽省合肥市 移动
117.136.20.61 安徽省合肥市 移动
117.136.20.67 安徽省合肥市 移动
117.136.20.68 安徽省合肥市 移动
117.136.20.70 安徽省合肥市 移动
117.136.20.73 安徽省合肥市 移动
117.136.20.76 安徽省合肥市 移动
117.136.20.77 安徽省合肥市 移动
117.136.20.78 安徽省合肥市 移动
117.136.20.81 安徽省合肥市 移动
117.136.20.82 安徽省合肥市 移动
117.136.20.85 安徽省合肥市 移动
117.136.20.87 安徽省合肥市 移动
117.136.20.89 安徽省合肥市 移动
117.136.20.92 安徽省合肥市 移动
117.136.20.98 安徽省合肥市 移动
117.136.21.120 江西省南昌市 移动
117.136.21.121 江西省南昌市 移动
117.136.21.123 江西省南昌市 移动
117.136.21.52 江西省南昌市 移动
117.136.21.53 江西省南昌市 移动
117.136.22.124 河南省郑州市 移动
117.136.22.127 河南省郑州市 移动
117.136.22.194 河南省郑州市 移动
117.136.22.195 河南省郑州市 移动
117.136.22.209 河南省郑州市 移动
117.136.22.210 河南省郑州市 移动
117.136.22.211 河南省郑州市 移动
117.136.22.224 河南省郑州市 移动
117.136.22.226 河南省郑州市 移动
117.136.22.227 河南省郑州市 移动
117.136.22.228 河南省郑州市 移动
117.136.22.229 河南省郑州市 移动
117.136.22.232 河南省郑州市 移动
117.136.22.234 河南省郑州市 移动
117.136.22.235 河南省郑州市 移动
117.136.22.236 河南省郑州市 移动
117.136.22.241 河南省郑州市 移动
117.136.22.243 河南省郑州市 移动
117.136.22.244 河南省郑州市 移动
117.136.22.245 河南省郑州市 移动
117.136.22.246 河南省郑州市 移动
117.136.22.247 河南省郑州市 移动
117.136.22.249 河南省郑州市 移动
117.136.22.250 河南省郑州市 移动
117.136.22.253 河南省郑州市 移动
117.136.22.255 河南省郑州市 移动
117.136.22.33 河南省郑州市 移动
117.136.22.34 河南省郑州市 移动
117.136.22.36 河南省郑州市 移动
117.136.22.40 河南省郑州市 移动
117.136.22.47 河南省郑州市 移动
117.136.22.52 河南省郑州市 移动
117.136.22.53 河南省郑州市 移动
117.136.22.54 河南省郑州市 移动
117.136.22.63 河南省郑州市 移动
117.136.23.1 湖北省武汉市 移动
117.136.23.127 湖北省武汉市 移动
117.136.23.132 湖北省武汉市 移动
117.136.23.157 湖北省武汉市 移动
117.136.23.181 湖北省武汉市 移动
117.136.23.19 湖北省武汉市 移动
117.136.23.190 湖北省武汉市 移动
117.136.23.224 湖北省武汉市 移动
117.136.23.241 湖北省武汉市 移动
117.136.23.25 湖北省武汉市 移动
117.136.23.3 湖北省武汉市 移动
117.136.23.30 湖北省武汉市 移动
117.136.23.41 湖北省武汉市 移动
117.136.23.60 湖北省武汉市 移动
117.136.23.70 湖北省武汉市 移动
117.136.23.89 湖北省武汉市 移动
117.136.23.92 湖北省武汉市 移动
117.136.24.100 湖南省长沙市 移动
117.136.24.103 湖南省长沙市 移动
117.136.24.104 湖南省长沙市 移动
117.136.24.106 湖南省长沙市 移动
117.136.24.107 湖南省长沙市 移动
117.136.24.111 湖南省长沙市 移动
117.136.24.113 湖南省长沙市 移动
117.136.24.118 湖南省长沙市 移动
117.136.24.120 湖南省长沙市 移动
117.136.24.121 湖南省长沙市 移动
117.136.24.122 湖南省长沙市 移动
117.136.24.126 湖南省长沙市 移动
117.136.24.129 湖南省长沙市 移动
117.136.24.13 湖南省长沙市 移动
117.136.24.131 湖南省长沙市 移动
117.136.24.132 湖南省长沙市 移动
117.136.24.133 湖南省长沙市 移动
117.136.24.134 湖南省长沙市 移动
117.136.24.136 湖南省长沙市 移动
117.136.24.138 湖南省长沙市 移动
117.136.24.139 湖南省长沙市 移动
117.136.24.143 湖南省长沙市 移动
117.136.24.15 湖南省长沙市 移动
117.136.24.195 湖南省长沙市 移动
117.136.24.203 湖南省长沙市 移动
117.136.24.206 湖南省长沙市 移动
117.136.24.4 湖南省长沙市 移动
117.136.24.64 湖南省长沙市 移动
117.136.24.66 湖南省长沙市 移动
117.136.24.73 湖南省长沙市 移动
117.136.24.74 湖南省长沙市 移动
117.136.24.75 湖南省长沙市 移动
117.136.24.78 湖南省长沙市 移动
117.136.24.8 湖南省长沙市 移动
117.136.24.81 湖南省长沙市 移动
117.136.24.82 湖南省长沙市 移动
117.136.24.84 湖南省长沙市 移动
117.136.24.97 湖南省长沙市 移动
117.136.24.99 湖南省长沙市 移动
117.136.25.100 陕西省西安市 移动
117.136.25.102 陕西省西安市 移动
117.136.25.108 陕西省西安市 移动
117.136.25.109 陕西省西安市 移动
117.136.25.111 陕西省西安市 移动
117.136.25.125 陕西省西安市 移动
117.136.25.128 陕西省西安市 移动
117.136.25.141 陕西省西安市 移动
117.136.25.180 陕西省西安市 移动
117.136.25.185 陕西省西安市 移动
117.136.25.187 陕西省西安市 移动
117.136.25.189 陕西省西安市 移动
117.136.25.199 陕西省西安市 移动
117.136.25.200 陕西省西安市 移动
117.136.25.201 陕西省西安市 移动
117.136.25.204 陕西省西安市 移动
117.136.25.212 陕西省西安市 移动
117.136.25.219 陕西省西安市 移动
117.136.25.220 陕西省西安市 移动
117.136.25.227 陕西省西安市 移动
117.136.25.232 陕西省西安市 移动
117.136.25.75 陕西省西安市 移动
117.136.25.91 陕西省西安市 移动
117.136.25.94 陕西省西安市 移动
117.136.26.58 新疆乌鲁木齐市 移动
117.136.26.66 新疆乌鲁木齐市 移动
117.136.27.210 甘肃省兰州市 移动
117.136.27.219 甘肃省兰州市 移动
117.136.27.239 甘肃省兰州市 移动
117.136.27.251 甘肃省兰州市 移动
117.136.27.37 甘肃省兰州市 移动
117.136.27.40 甘肃省兰州市 移动
117.136.27.42 甘肃省兰州市 移动
117.136.27.45 甘肃省兰州市 移动
117.136.27.50 甘肃省兰州市 移动
117.136.27.53 甘肃省兰州市 移动
117.136.27.55 甘肃省兰州市 移动
117.136.27.60 甘肃省兰州市 移动
117.136.27.62 甘肃省兰州市 移动
