2.2.2	223.104.4.51.51976	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.3	218.205.23.39.63872	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Andro	117.136.9.237.42434	[1, 1, 1, 1, 1]
Andro	117.136.9.237.42435	[1, 1, 1, 1, 1, 1]
Andro	117.136.9.237.42436	[1, 1, 1, 1, 1, 1, 1]
2.3.5	211.141.86.14.6400	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	123.79.22.42.40484	[1, 1, 1, 1, 1, 1]
4.1.2	123.79.22.42.40485	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.3	223.104.21.74.52534	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40324	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.2.1	120.200.246.214.42609	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.4.2	223.104.11.24.46289	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40325	[1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40326	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40327	[1, 1, 1, 1, 1, 1, 1, 1]
2.2.1	120.200.246.214.43191	[1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40328	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.2	120.201.132.160.24548	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40329	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.2.1	120.200.246.214.43256	[1, 1, 1, 1, 1]
2.3.5	111.42.140.96.64750	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.3.5	111.42.140.96.35610	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.2	120.210.173.247.14941	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.2.2	223.104.4.63.23122	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1]
4.1.1	117.135.235.16.39044	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.2	120.210.173.247.14942	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	120.210.179.7.40330	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.3.5	111.42.140.96.61288	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.1	117.158.80.19.28897	[1, 1]
4.2.2	120.210.173.247.14943	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.1.2	117.178.182.249.57171	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
